Number_of_children_ever_born,Wifes_age,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
3,24,2,3,1,1,2,3,0,1
10,45,1,3,1,1,3,4,0,1
7,43,2,3,1,1,3,4,0,1
9,42,3,2,1,1,3,3,0,1
8,36,3,3,1,1,3,2,0,1
0,19,4,4,1,1,3,3,0,1
6,38,2,3,1,1,3,2,0,1
1,21,3,3,1,0,3,2,0,1
3,27,2,3,1,1,3,4,0,1
8,45,1,1,1,1,2,2,1,1
2,38,1,3,1,0,3,3,1,1
4,42,1,4,1,1,1,3,0,1
1,44,4,4,1,0,1,4,0,1
1,42,2,4,1,0,3,3,0,1
2,38,3,4,1,1,2,3,0,1
0,26,2,4,1,1,4,1,0,1
7,48,1,1,1,1,2,4,0,1
6,39,2,2,1,1,2,4,0,1
8,37,2,2,1,1,2,3,0,1
5,39,2,1,1,1,2,1,1,1
1,26,3,4,1,0,4,1,0,1
0,24,3,4,1,0,3,1,0,1
1,46,4,4,0,1,1,4,0,1
1,39,4,4,1,1,1,4,0,1
5,48,4,4,1,1,1,4,0,1
8,40,2,4,1,1,3,3,0,1
1,38,4,4,1,0,1,4,0,1
0,29,4,4,1,0,1,4,0,1
0,24,4,4,1,0,2,2,0,1
8,43,1,2,1,1,2,4,0,1
2,31,3,4,1,1,1,4,0,1
2,31,4,4,1,1,3,2,0,1
0,26,2,4,1,0,1,2,0,1
2,33,2,2,1,1,3,1,0,1
1,24,2,3,1,1,3,3,0,1
9,42,1,3,1,1,3,2,1,1
8,43,1,2,1,0,3,1,0,1
4,25,3,3,1,1,3,2,0,1
3,42,2,2,1,1,3,4,0,1
1,28,2,2,1,1,2,4,0,1
3,28,1,1,1,1,3,1,0,1
0,47,2,3,1,0,1,3,0,1
2,48,2,4,1,1,1,3,0,1
2,40,4,4,0,1,1,4,0,1
1,28,2,2,1,1,3,2,0,1
1,25,1,4,1,1,2,1,0,1
2,32,4,4,1,1,2,3,0,1
0,45,4,4,1,1,2,4,0,1
1,26,4,4,1,1,1,4,0,1
0,26,4,4,1,0,1,4,0,1
0,31,4,4,1,0,1,4,0,1
7,49,4,4,0,1,2,4,0,1
8,40,3,4,1,1,3,3,0,1
1,34,4,4,0,0,2,3,0,1
5,36,2,4,1,1,2,3,0,1
2,20,2,2,1,1,2,2,1,1
5,43,4,4,1,0,1,4,0,1
7,37,3,4,1,1,2,1,0,1
0,21,2,3,1,1,3,4,0,1
6,49,4,4,1,1,1,2,0,1
10,42,3,3,1,1,3,3,0,1
1,20,2,3,1,1,2,3,0,1
2,47,1,2,1,0,1,3,0,1
1,22,2,3,1,1,2,1,0,1
1,27,2,4,1,0,1,3,0,1
1,24,2,4,1,1,3,1,0,1
8,44,4,2,1,1,3,3,0,1
3,30,2,3,1,1,3,1,0,1
2,23,3,4,1,1,3,4,0,1
1,25,4,4,1,0,3,3,0,1
4,47,2,3,1,1,2,3,0,1
8,48,2,3,1,1,1,4,0,1
1,29,2,3,1,1,1,1,0,1
1,29,2,3,1,1,1,2,0,1
0,21,3,4,1,1,2,3,0,1
1,21,3,4,1,1,2,3,0,1
0,29,4,4,1,0,2,4,0,1
3,45,3,4,1,1,1,4,0,1
2,33,2,3,1,1,3,2,0,1
1,38,4,4,1,0,1,4,0,1
0,24,4,4,0,1,1,4,0,1
6,49,4,4,0,0,1,4,0,1
1,24,2,4,1,0,4,4,0,1
0,28,4,4,0,0,1,4,0,1
2,30,4,4,1,1,1,4,0,1
2,33,4,4,1,1,1,4,0,1
1,25,4,4,1,1,1,3,0,1
3,35,4,4,0,1,1,4,0,1
4,27,2,4,1,1,1,4,0,1
3,24,2,2,1,0,2,1,0,1
0,25,2,3,1,1,2,1,0,1
6,46,2,4,1,1,1,4,0,1
3,26,2,2,1,1,2,1,0,1
1,38,2,2,1,0,3,2,0,1
3,47,1,2,1,1,1,3,0,1
10,41,1,3,1,1,2,3,1,1
1,41,2,3,1,0,2,3,0,1
5,28,4,4,1,1,2,1,0,1
3,17,2,2,1,1,3,1,0,1
5,27,2,3,1,1,2,1,0,1
4,27,1,2,1,1,3,1,1,1
0,19,2,3,1,0,2,2,0,1
3,27,2,4,1,0,3,2,0,1
4,26,4,3,1,1,2,3,0,1
2,23,2,4,1,1,3,3,0,1
3,40,3,3,1,1,3,2,0,1
0,22,4,4,1,1,1,1,0,1
4,44,3,4,1,0,1,3,0,1
2,29,2,3,1,1,3,1,0,1
3,26,2,3,1,1,3,1,0,1
1,45,4,4,1,0,3,3,0,1
7,32,3,3,1,0,2,3,0,1
1,21,4,4,1,1,1,4,0,1
4,31,2,2,1,1,3,3,0,1
0,21,3,4,1,1,1,3,0,1
1,37,4,4,1,1,1,4,0,1
3,34,4,4,0,0,3,3,0,1
1,44,3,4,1,1,1,3,0,1
5,49,4,3,1,1,2,3,0,1
2,26,2,3,1,1,3,3,0,1
1,38,1,2,1,1,2,4,1,1
5,36,2,3,1,1,2,3,0,1
2,26,3,4,1,1,3,3,0,1
1,20,2,3,0,1,3,2,0,1
3,44,2,1,1,0,3,2,0,1
2,31,3,4,1,1,1,2,1,1
1,45,4,4,1,1,1,3,0,1
2,36,2,3,1,1,3,2,1,1
2,43,1,3,1,0,2,2,1,1
0,25,3,4,1,1,1,3,0,1
3,48,3,4,1,1,3,1,0,1
0,30,4,4,0,0,1,3,0,1
8,48,1,2,1,1,3,1,0,1
1,28,3,4,1,1,3,1,1,1
1,26,4,4,1,1,1,3,0,1
3,26,3,3,1,0,2,4,0,1
2,24,4,4,1,1,3,3,0,1
2,21,3,3,1,1,2,2,0,1
2,30,4,4,0,1,3,1,0,1
1,20,4,4,1,1,1,4,0,1
2,33,4,4,1,1,1,3,0,1
0,30,4,4,0,0,3,3,0,1
1,47,4,4,1,0,1,3,0,1
2,35,4,4,0,1,3,3,0,1
2,30,2,4,1,1,3,4,0,1
3,33,4,4,1,1,1,4,0,1
4,45,4,4,1,1,2,3,0,1
2,41,4,4,1,1,1,4,0,1
1,32,4,4,1,0,1,3,0,1
5,43,4,4,1,1,1,4,0,1
3,44,4,4,1,1,2,4,0,1
4,21,1,3,1,1,3,2,0,1
2,44,3,4,1,1,1,4,1,1
2,23,4,4,1,1,2,4,0,1
4,47,1,2,1,1,2,2,0,1
7,47,1,1,1,1,2,3,1,1
2,35,4,4,1,0,2,4,0,1
4,32,2,4,1,1,3,2,0,1
5,45,1,4,1,1,1,2,1,1
2,22,2,2,1,1,3,1,0,1
3,23,1,1,1,1,2,1,1,1
0,30,4,4,1,0,1,4,0,1
0,44,1,3,1,1,2,3,0,1
1,40,3,3,1,0,3,3,0,1
4,34,4,4,1,1,2,3,0,1
1,37,3,4,1,1,2,4,0,1
5,49,3,4,1,1,1,4,0,1
1,26,4,4,1,1,1,4,0,1
0,22,4,4,1,1,2,4,0,1
0,20,3,4,1,0,2,4,0,1
4,47,4,4,1,1,1,4,0,1
8,49,2,2,1,0,3,1,0,1
1,22,2,4,1,1,2,4,0,1
2,22,3,3,1,1,3,4,0,1
2,25,3,2,1,1,3,2,0,1
0,32,2,4,1,0,3,4,0,1
0,28,4,4,0,1,1,3,0,1
4,30,2,4,1,0,1,4,0,1
2,45,2,4,1,0,2,4,0,1
10,49,2,1,1,0,2,4,0,1
2,34,4,4,1,0,1,4,0,1
1,25,2,4,1,1,2,2,0,1
12,42,1,3,1,1,3,3,0,1
3,48,2,1,1,0,4,3,0,1
5,35,3,4,1,0,2,2,0,1
1,33,2,3,1,1,3,4,0,1
0,20,2,4,1,1,3,2,0,1
4,36,2,3,1,1,3,1,1,1
2,19,3,3,1,1,3,2,0,1
3,27,3,2,1,1,3,2,0,1
4,30,1,2,1,1,4,1,0,1
3,31,3,4,1,0,3,2,0,1
11,44,1,1,1,1,4,1,1,1
2,24,3,3,1,1,3,3,0,1
0,18,3,4,1,0,3,1,0,1
6,45,1,2,1,1,3,3,1,1
3,25,2,2,1,0,3,1,0,1
6,36,3,4,1,1,2,4,0,1
5,30,1,1,1,1,2,2,0,1
2,32,2,4,1,1,3,3,0,1
11,42,1,4,0,1,2,2,1,1
0,22,2,4,1,1,3,3,0,1
2,36,2,4,1,0,2,4,0,1
2,27,2,3,1,1,3,3,0,1
1,40,3,4,1,1,1,2,0,1
2,22,2,3,1,1,3,1,0,1
0,26,2,4,1,1,3,1,0,1
0,31,3,4,1,0,2,3,0,1
1,32,4,4,1,1,1,4,0,1
3,34,2,3,1,0,3,2,0,1
1,40,3,3,0,1,3,4,0,1
1,45,1,2,1,0,3,3,0,1
3,26,3,4,1,1,3,2,0,1
5,48,1,3,1,1,3,2,0,1
8,43,1,3,1,1,3,1,0,1
2,27,3,4,1,0,2,2,0,1
1,42,3,2,1,1,3,3,0,1
8,34,3,2,1,0,2,3,1,1
4,32,3,2,1,1,2,2,1,1
2,31,3,3,1,0,2,3,0,1
1,22,2,3,1,1,3,3,0,1
0,27,3,4,1,1,3,3,0,1
2,37,1,2,1,1,2,2,1,1
0,22,1,2,1,1,2,4,0,1
4,47,4,4,1,1,1,4,0,1
4,32,4,4,1,0,1,3,0,1
2,37,3,3,1,1,1,4,0,1
1,45,1,3,1,1,2,3,1,1
8,47,1,4,1,1,3,3,0,1
0,28,3,4,1,1,3,2,0,1
4,48,1,3,1,1,3,4,1,1
1,26,2,4,1,1,1,3,0,1
0,21,3,4,1,0,3,1,0,1
1,20,2,3,1,1,2,4,0,1
5,39,1,1,1,0,3,1,1,1
1,27,2,3,1,0,3,4,0,1
5,37,2,3,1,0,3,2,0,1
1,24,4,4,1,1,3,3,0,1
6,39,3,3,1,1,3,3,0,1
1,20,3,3,1,1,2,3,0,1
1,19,3,4,1,1,2,3,0,1
4,40,3,3,1,1,2,2,0,1
4,41,1,4,1,1,3,3,0,1
2,22,4,4,1,1,1,3,0,1
4,32,3,4,1,1,1,4,0,1
2,34,4,4,0,1,1,4,0,1
2,34,4,4,1,0,1,3,0,1
2,23,4,4,1,1,1,4,0,1
1,27,4,4,1,1,1,2,0,1
11,46,3,2,1,0,2,2,1,1
3,34,4,4,0,1,1,2,0,1
5,33,4,4,1,1,3,3,0,1
1,25,3,3,1,1,3,2,0,1
1,26,4,4,1,0,1,4,0,1
4,48,1,3,1,1,3,3,1,1
2,36,4,4,1,1,3,3,0,1
2,38,3,4,0,1,2,4,0,1
7,44,1,2,1,1,3,4,0,1
1,44,2,2,1,0,3,2,0,1
1,39,3,3,0,1,3,4,0,1
7,47,1,2,1,0,3,2,0,1
5,43,1,3,1,0,3,2,0,1
3,29,3,3,1,0,2,4,0,1
0,22,3,3,1,1,2,2,0,1
5,31,2,4,1,1,3,2,0,1
0,22,4,4,1,1,1,3,0,1
6,45,3,4,1,1,2,4,0,1
10,42,3,4,1,0,3,2,0,1
7,38,3,3,1,1,3,1,0,1
6,47,1,1,1,0,3,1,0,1
2,30,4,4,1,1,1,4,0,1
1,28,3,4,1,1,3,4,0,1
1,25,3,4,1,1,2,1,0,1
6,49,2,4,0,1,2,3,0,1
2,23,3,4,1,0,2,3,0,1
1,35,3,4,0,1,2,3,0,1
5,47,2,1,0,1,2,4,0,1
0,35,2,3,1,1,2,4,0,1
6,44,3,4,1,1,3,4,0,1
3,48,4,4,1,1,2,4,0,1
6,43,2,3,1,0,3,3,0,1
2,21,2,4,1,1,3,1,0,1
0,22,4,4,1,1,1,4,0,1
5,41,3,3,1,1,3,4,0,1
2,29,2,4,1,0,4,4,1,1
5,44,4,4,0,1,2,4,0,1
0,22,4,4,1,0,1,4,0,1
4,23,2,4,1,1,3,3,0,1
0,22,2,1,1,1,3,2,0,1
0,35,1,3,1,1,2,2,1,1
1,24,4,4,1,1,2,2,0,1
4,36,4,4,1,1,1,4,0,1
2,47,1,2,1,1,2,4,0,1
3,40,4,4,1,1,3,4,0,1
1,29,4,4,1,1,1,3,0,1
6,49,3,4,1,1,1,4,0,1
9,49,3,4,1,1,1,4,0,1
2,47,4,4,1,1,1,4,0,1
3,28,4,4,0,1,1,4,0,1
1,26,4,4,1,1,1,4,0,1
7,29,1,2,1,1,2,4,0,1
0,29,4,2,1,0,2,2,0,1
1,25,3,3,1,1,3,4,0,1
2,24,2,4,1,1,3,4,0,1
1,23,4,4,1,0,2,4,0,1
2,23,4,4,1,0,3,3,0,1
2,44,1,2,1,1,2,4,0,1
6,39,3,4,1,1,1,4,0,1
0,21,3,3,1,1,2,2,0,1
2,22,3,4,1,1,2,3,0,1
3,47,3,4,1,1,2,3,0,1
2,36,3,3,1,0,2,4,0,1
2,25,1,4,1,0,3,3,1,1
2,40,4,4,1,1,3,4,0,1
0,36,2,2,0,0,3,3,0,1
5,37,2,3,0,0,2,4,0,1
2,28,1,4,1,0,2,3,0,1
5,30,3,3,1,0,3,4,0,1
1,16,3,4,1,1,3,3,0,1
4,32,2,3,0,1,2,4,0,1
3,40,4,4,0,1,3,4,0,1
2,40,1,1,1,0,3,4,0,1
2,45,3,4,0,1,1,4,0,1
0,21,1,3,1,0,3,4,1,1
1,28,4,4,0,1,1,3,0,1
1,25,4,4,0,1,2,3,0,1
4,44,1,3,1,1,3,3,1,1
2,35,4,4,0,1,3,4,0,1
4,49,4,4,1,1,3,4,0,1
1,39,3,4,0,1,3,4,0,1
1,32,3,4,0,1,2,4,0,1
0,35,1,2,1,0,4,4,0,1
1,21,1,2,1,0,3,4,0,1
1,47,4,4,0,1,1,4,0,1
1,27,4,4,0,1,3,4,0,1
8,31,2,2,1,1,2,2,1,1
0,34,4,3,0,0,3,3,0,1
3,30,4,4,1,0,2,4,0,1
0,25,4,4,1,0,2,4,0,1
3,28,3,4,1,1,2,1,0,1
4,30,2,3,1,0,3,2,0,1
8,42,3,3,1,1,4,3,0,1
0,23,4,4,0,1,2,4,0,1
3,45,3,4,0,1,3,4,0,1
1,21,4,4,1,1,3,3,0,1
1,28,4,4,0,1,2,4,0,1
1,33,4,4,0,0,3,4,0,1
4,32,1,2,1,1,3,2,1,1
3,25,2,2,1,1,3,3,0,1
1,25,3,3,1,1,3,1,0,1
2,19,2,2,1,1,3,1,0,1
6,40,1,2,1,1,3,1,1,1
2,24,2,2,1,1,3,1,1,1
1,32,2,2,1,1,2,1,0,1
8,35,2,3,1,1,3,2,0,1
1,27,2,2,1,0,3,2,1,1
2,23,2,4,1,1,1,4,0,1
4,22,2,4,1,1,3,4,0,1
0,49,2,3,1,1,1,2,0,1
0,25,2,3,1,1,2,4,0,1
1,18,3,4,1,1,3,1,0,1
4,43,3,3,1,1,2,4,0,1
0,37,1,3,1,1,3,4,0,1
2,30,2,3,1,0,2,4,0,1
0,29,3,2,1,1,2,2,0,1
3,20,2,3,1,1,3,4,0,1
3,42,3,3,1,0,2,4,0,1
1,23,4,4,1,1,2,3,0,1
7,34,2,3,1,0,3,3,0,1
6,23,3,3,1,1,3,3,0,1
5,38,3,3,1,1,1,4,0,1
4,37,2,3,1,1,2,3,0,1
1,17,2,3,1,1,3,2,0,1
3,39,3,4,1,1,1,4,0,1
0,49,1,3,1,1,3,3,1,1
2,23,3,3,1,1,2,2,0,1
3,40,3,3,1,1,2,2,1,1
5,32,2,4,1,1,2,3,0,1
1,18,2,3,1,1,2,3,0,1
8,46,1,2,1,1,3,3,1,1
6,37,3,3,1,1,2,2,0,1
5,38,2,4,0,1,2,2,0,1
2,37,2,3,0,0,3,3,0,1
1,25,2,3,1,0,2,1,0,1
5,38,2,4,1,1,3,3,0,1
2,39,4,4,1,0,1,4,0,1
3,44,4,4,1,0,1,4,1,1
0,19,4,4,0,1,3,4,0,1
1,28,2,4,1,0,3,4,0,1
1,20,2,3,1,1,3,4,0,1
0,33,4,4,1,0,3,3,0,1
5,33,4,4,1,1,3,4,0,1
6,47,1,4,1,1,1,4,0,1
0,25,3,3,1,1,3,4,0,1
0,29,4,4,1,0,2,4,0,1
2,37,4,4,0,1,1,4,0,1
6,49,1,3,1,1,2,4,0,1
8,48,1,1,1,0,2,2,1,1
0,19,2,2,1,1,2,2,0,1
3,46,1,2,1,1,2,1,1,1
2,39,1,2,1,1,3,1,1,1
5,30,3,4,1,1,1,4,0,1
8,40,2,2,1,1,2,2,0,1
1,43,1,2,1,1,3,4,1,1
4,29,3,4,1,0,1,3,0,1
2,23,3,3,1,1,3,3,0,1
3,24,2,2,1,1,2,4,0,1
2,47,3,3,1,1,2,4,0,1
2,35,3,3,1,0,2,2,0,1
1,19,3,3,1,1,2,4,0,1
4,45,2,3,1,0,2,4,0,1
2,42,2,4,1,1,3,4,0,1
1,47,1,1,1,1,3,4,0,1
2,25,2,2,1,1,3,1,0,1
3,20,2,3,1,1,3,4,0,1
6,33,3,3,1,1,3,4,0,2
5,46,4,3,1,1,1,4,0,2
4,35,4,4,1,1,1,4,0,2
2,26,4,4,1,0,1,4,0,2
5,36,3,3,1,0,1,3,0,2
3,37,3,4,1,1,1,3,0,2
4,44,2,4,1,1,3,3,0,2
2,32,4,4,1,1,1,4,0,2
6,25,2,4,1,1,3,4,0,2
7,42,2,3,1,1,3,4,0,2
2,30,4,4,0,0,1,4,0,2
4,39,4,4,1,1,1,4,0,2
2,26,1,1,1,1,3,4,0,2
3,30,2,4,1,1,3,4,0,2
4,38,4,4,0,0,1,2,0,2
1,23,4,4,1,1,1,2,0,2
1,18,3,4,1,1,3,4,0,2
3,25,3,4,1,1,2,3,0,2
2,37,4,4,1,0,3,3,0,2
1,20,3,4,1,1,3,2,0,2
7,45,4,4,1,1,1,4,0,2
2,28,2,1,1,0,3,3,0,2
3,33,2,2,1,1,2,3,0,2
2,28,2,3,1,1,3,3,0,2
1,30,2,4,1,0,3,4,0,2
4,32,4,4,1,1,2,4,0,2
7,48,4,3,1,0,2,4,0,2
2,46,4,4,1,0,1,4,0,2
2,32,4,4,0,0,1,4,0,2
10,49,4,4,1,1,1,4,0,2
6,33,2,2,1,0,3,4,0,2
3,39,4,4,1,1,1,4,0,2
5,35,4,4,0,0,1,4,0,2
3,36,4,4,0,1,1,3,0,2
1,20,3,4,1,1,2,4,0,2
1,23,4,4,1,1,3,4,0,2
2,26,2,4,1,1,1,3,0,2
1,25,3,3,1,1,3,1,0,2
1,31,4,4,1,1,1,4,0,2
2,36,4,4,1,1,2,4,0,2
2,32,3,3,1,0,3,4,0,2
3,36,4,4,1,1,1,4,0,2
3,40,4,4,1,1,1,4,0,2
4,46,4,4,1,1,1,4,0,2
8,42,4,4,0,1,1,4,0,2
4,39,4,4,1,0,1,4,0,2
2,34,4,4,1,1,1,4,0,2
3,36,4,4,1,1,1,4,0,2
3,37,4,4,1,1,1,4,0,2
4,36,4,4,0,1,1,4,0,2
2,38,4,4,1,1,1,4,0,2
1,27,3,3,0,0,2,4,0,2
8,37,4,3,1,1,1,4,0,2
1,24,1,4,1,0,4,2,1,2
8,42,2,4,1,1,1,4,0,2
3,31,4,4,0,0,4,4,0,2
2,34,2,3,1,1,3,3,0,2
4,34,4,4,1,1,3,3,0,2
4,36,4,4,0,0,1,4,0,2
8,47,4,4,1,1,1,4,0,2
3,34,4,4,1,1,1,4,0,2
6,44,4,4,0,1,1,3,0,2
1,21,4,4,1,1,1,4,0,2
6,42,4,4,1,1,1,3,0,2
4,44,4,4,1,0,2,3,0,2
1,19,4,4,1,1,2,3,0,2
7,35,1,3,1,0,2,3,1,2
1,24,4,4,1,1,3,2,0,2
7,32,3,4,0,1,1,3,0,2
